X,Y,Name_of_th,Latitude,Longitude,name,Sl_No,Shop_No,Shop_Name,layer,path,icon_url
79.643839,11.852944,,11.85294400000,79.64383900000,,45,8(N),PANDASOZHANALLUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.747868,11.850402,,11.85040200000,79.74786800000,,46,9(N),KARIKALAMPAKKAM-II,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.651397,11.869051,,11.86905100000,79.65139700000,,47,10(N),KALMANDABAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.793145,12.020981,,12.02098100000,79.79314500000,,48,1(O),SANJEEVRAYANPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.858869,12.014921,,12.01492100000,79.85886900000,,49,3(O),PILLAICHAVADY,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.82872,11.953853,,11.95385300000,79.82872000000,,50,4(O),KARUVADIKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.77563,11.943148,,11.94314800000,79.77563000000,,51,6(O),DHARMAPURI,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.868258,12.044629,,12.04462900000,79.86825800000,,52,7(O),KANAPATHYCHETTIKULAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.75975,12.002367,,12.00236700000,79.75975000000,,53,1(V),SEDURAPET,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.703294,11.964936,,11.96493600000,79.70329400000,,54,2(V),PILLAYARKUPPAM I,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.697341,11.901666,,11.90166600000,79.69734100000,,55,3(V),ARIYUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.738933,11.988513,,11.98851300000,79.73893300000,,56,8(V),KARASUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.697613,11.894858,,11.89485800000,79.69761300000,,57,11(V),SIVARANDHAGAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.732476,11.90029,,11.90029000000,79.73247600000,,58,12(V),VADAMANGALAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.770963,11.882777,,11.88277700000,79.77096300000,,59,13(V),KEEZHAGRAHARAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.698536,11.869051,,11.86905100000,79.69853600000,,60,14(V),MANAKUPPAM,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.707749,11.917695,,11.91769500000,79.70774900000,,61,16(V),PANGUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.75757,11.926471,,11.92647100000,79.75757000000,,62,17(V),ARASUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
79.754107,11.880173,,11.88017300000,79.75410700000,,63,19(V),PERUNGALUR,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
-1.79769313486232E+308,-1.79769313486232E+308,,0.00000000000,0.00000000000,,0,,,ArrackPY,C:/Users/Admin/Desktop/QgisWeb/ArrackPYKLMHYnm/ArrackPY.shp,./0.png
